year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,5,CO,RNCMS03,UMSCPE1C,940,0,4.15,3072,5.83,,,,2560,21.16,,,
2017,5,CO,RNCRO01,NS01ROCWL02,,0,0,,,,,,,,,,
2017,5,PRSC,RNCPR03,UPRLDA32,100,0,4.92,768,2.59,,,,576,11.14,,,
2017,5,NE,RNCPB01,NS01PBMME01,,0,0,,,,,,,,,,
2017,5,CO,RNCTO01,UTOPMJ23,700,0,1.22,1536,3.8,,,,1024,19.22,,,
2017,5,NE,RNCPB01,UPBCPX01,900,0,2.28,2304,5.62,,,,1536,25.68,,,
2017,5,NE,RNCCE02,UCEPIC11,170,0,12.15,1536,5.3,,,,1536,16.66,,,
2017,5,ES,RNCES01,UESCAR13,170,0,4.16,1536,2.18,,,,,,,,
2017,5,ES,RNCES01,UESVVE16,740,0,1.41,2304,2.28,,,,2048,8.05,,,
2017,5,CO,RNCDF03,UGOVPI07,940,0,2.59,3072,3.63,,,,2560,13.17,,,
